"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","241.42","238.67","241.98","238.23","169.47K","1.15%"
"01/03/2018","250.47","242.34","251.85","242.34","233.22K","3.75%"
"01/04/2018","248.49","251.52","251.52","247.62","143.05K","-0.79%"
"01/05/2018","249.05","249.13","250.02","248.08","102.10K","0.23%"
"01/08/2018","251.00","248.52","251.88","247.41","233.90K","0.78%"
"01/09/2018","256.12","252.18","257.36","250.05","216.14K","2.04%"
"01/10/2018","249.80","255.34","255.34","249.62","166.28K","-2.47%"
"01/11/2018","251.21","250.16","252.16","247.59","169.84K","0.56%"
"01/12/2018","248.37","251.48","251.48","246.45","176.34K","-1.13%"
"01/16/2018","249.11","249.18","251.06","245.62","106.09K","0.30%"
"01/17/2018","252.64","250.54","254.63","250.14","201.59K","1.42%"
"01/18/2018","252.50","251.74","252.72","248.83","126.08K","-0.06%"
"01/19/2018","254.54","252.90","255.89","251.27","272.57K","0.81%"
"01/22/2018","254.65","253.28","255.80","250.94","134.75K","0.04%"
"01/23/2018","254.83","255.40","258.20","254.36","150.00K","0.07%"
"01/24/2018","254.41","255.95","257.12","252.40","141.30K","-0.16%"
"01/25/2018","259.11","255.76","259.21","254.48","114.21K","1.85%"
"01/26/2018","261.89","259.23","263.65","254.55","212.27K","1.07%"
"01/29/2018","263.41","261.06","266.98","261.06","134.70K","0.58%"
"01/30/2018","259.20","261.11","261.86","256.94","108.20K","-1.60%"
"01/31/2018","258.53","261.01","264.89","256.08","104.64K","-0.26%"
"02/01/2018","258.75","257.81","259.99","256.23","233.58K","0.09%"
"02/02/2018","254.34","257.62","259.83","253.92","97.59K","-1.70%"
"02/05/2018","247.23","252.47","255.02","245.60","188.49K","-2.80%"
"02/06/2018","246.47","243.44","249.25","240.54","220.22K","-0.31%"
"02/07/2018","243.76","245.58","248.20","243.04","209.50K","-1.10%"
"02/08/2018","233.97","244.11","245.85","233.48","160.31K","-4.02%"
"02/09/2018","236.72","235.34","240.30","231.00","177.64K","1.18%"
"02/12/2018","239.69","238.07","242.09","233.96","159.84K","1.25%"
"02/13/2018","237.36","239.00","240.43","235.71","157.27K","-0.97%"
"02/14/2018","247.91","235.49","249.58","235.49","166.85K","4.44%"
"02/15/2018","246.83","248.34","250.18","243.02","115.36K","-0.44%"
"02/16/2018","249.04","244.90","251.39","240.15","209.47K","0.90%"
"02/20/2018","251.12","247.62","254.23","246.31","204.94K","0.84%"
"02/21/2018","245.62","251.74","255.69","245.28","178.61K","-2.19%"
"02/22/2018","248.08","246.75","250.21","243.04","228.00K","1.00%"
"02/23/2018","254.31","249.10","254.83","246.63","204.09K","2.51%"
"02/26/2018","257.85","254.72","259.24","253.21","168.93K","1.39%"
"02/27/2018","254.00","257.56","258.98","252.91","155.25K","-1.49%"
"02/28/2018","270.04","274.81","279.59","264.60","428.97K","6.31%"
"03/01/2018","264.82","271.29","271.29","260.41","220.04K","-1.93%"
"03/02/2018","263.04","262.12","264.46","259.65","261.12K","-0.67%"
"03/05/2018","259.98","261.23","261.60","256.27","152.78K","-1.16%"
"03/06/2018","262.34","260.40","263.81","257.56","202.83K","0.91%"
"03/07/2018","265.63","260.87","272.04","259.85","235.64K","1.25%"
"03/08/2018","265.84","266.40","267.58","264.01","99.87K","0.08%"
"03/09/2018","274.11","267.50","275.34","265.49","143.63K","3.11%"
"03/12/2018","273.84","273.96","276.00","267.53","78.95K","-0.10%"
"03/13/2018","270.94","274.57","274.99","268.86","68.45K","-1.06%"
"03/14/2018","269.40","272.08","272.84","265.31","93.12K","-0.57%"
"03/15/2018","268.58","269.10","271.40","266.15","85.89K","-0.30%"
"03/16/2018","263.00","269.77","269.77","259.95","286.75K","-2.08%"
"03/19/2018","262.27","262.24","264.14","258.65","139.44K","-0.28%"
"03/20/2018","262.64","263.97","264.05","260.62","70.55K","0.14%"
"03/21/2018","260.91","261.88","263.88","258.53","82.38K","-0.66%"
"03/22/2018","252.69","259.42","261.48","252.67","149.80K","-3.15%"
"03/23/2018","247.06","252.50","254.80","246.71","111.53K","-2.23%"
"03/26/2018","253.50","250.92","254.49","246.18","136.88K","2.61%"
"03/27/2018","249.58","254.07","254.07","245.84","174.79K","-1.55%"
"03/28/2018","247.62","250.46","254.60","246.15","292.43K","-0.79%"
"03/29/2018","250.08","248.98","254.57","248.91","121.10K","0.99%"
"04/02/2018","247.38","248.43","252.02","243.24","120.86K","-1.08%"
"04/03/2018","249.11","248.04","250.48","245.68","104.11K","0.70%"
"04/04/2018","250.52","246.08","251.70","245.11","151.57K","0.57%"
"04/05/2018","247.47","251.29","251.64","245.33","149.47K","-1.22%"
"04/06/2018","244.10","246.96","247.88","240.01","127.07K","-1.36%"
"04/09/2018","244.80","245.21","248.37","244.13","79.91K","0.29%"
"04/10/2018","250.02","246.77","252.35","245.25","123.12K","2.13%"
"04/11/2018","247.44","248.45","251.22","245.49","104.39K","-1.03%"
"04/12/2018","250.48","248.46","251.94","247.96","123.59K","1.23%"
"04/13/2018","247.06","251.17","252.53","246.20","95.25K","-1.37%"
"04/16/2018","262.13","249.48","262.85","248.69","206.10K","6.10%"
"04/17/2018","264.68","263.12","266.29","258.57","258.68K","0.97%"
"04/18/2018","264.19","264.51","265.37","260.63","158.55K","-0.19%"
"04/19/2018","262.26","264.08","267.66","260.36","100.00K","-0.73%"
"04/20/2018","260.68","262.24","264.01","259.88","105.06K","-0.60%"
"04/23/2018","261.48","260.65","264.49","260.43","75.56K","0.31%"
"04/24/2018","258.93","262.09","263.58","257.20","121.59K","-0.98%"
"04/25/2018","258.85","259.46","261.13","256.64","111.36K","-0.03%"
"04/26/2018","259.48","259.89","260.75","258.15","48.42K","0.24%"
"04/27/2018","259.50","260.63","260.63","257.54","75.63K","0.01%"
"04/30/2018","253.71","259.79","259.79","253.57","135.27K","-2.23%"
"05/01/2018","253.25","253.82","254.18","250.64","90.34K","-0.18%"
"05/02/2018","252.59","254.32","258.00","251.40","151.53K","-0.26%"
"05/03/2018","250.83","250.08","254.05","245.73","151.57K","-0.70%"
"05/04/2018","252.82","249.96","254.42","246.26","86.25K","0.79%"
"05/07/2018","254.75","253.86","258.98","252.97","194.00K","0.76%"
"05/08/2018","253.69","254.36","255.89","251.44","249.92K","-0.42%"
"05/09/2018","275.95","262.00","283.96","262.00","407.91K","8.77%"
"05/10/2018","278.82","276.59","285.69","273.23","241.95K","1.04%"
"05/11/2018","284.98","279.86","286.84","279.54","157.57K","2.21%"
"05/14/2018","286.90","284.96","287.56","282.26","279.30K","0.67%"
"05/15/2018","284.04","285.70","285.96","282.84","139.68K","-1.00%"
"05/16/2018","291.71","283.88","293.43","283.50","258.75K","2.70%"
"05/17/2018","286.82","291.26","291.26","284.20","391.34K","-1.68%"
"05/18/2018","291.66","286.05","292.59","286.05","125.27K","1.69%"
"05/21/2018","292.28","293.55","297.59","290.32","87.49K","0.21%"
"05/22/2018","289.36","292.74","294.44","288.96","68.82K","-1.00%"
"05/23/2018","288.91","287.29","290.93","286.05","134.96K","-0.16%"
"05/24/2018","289.06","288.77","291.12","287.25","118.08K","0.05%"
"05/25/2018","287.93","288.68","289.03","285.00","126.14K","-0.39%"
"05/29/2018","286.06","284.80","287.89","282.97","84.67K","-0.65%"
"05/30/2018","290.89","288.29","293.15","287.71","256.67K","1.69%"
"05/31/2018","287.13","288.60","292.39","285.76","111.57K","-1.29%"
"06/01/2018","290.64","289.26","292.75","287.27","152.53K","1.22%"
"06/04/2018","292.88","290.97","293.31","289.61","176.15K","0.77%"
"06/05/2018","291.22","293.03","294.80","289.10","173.63K","-0.57%"
"06/06/2018","297.47","290.64","297.59","290.64","171.19K","2.15%"
"06/07/2018","297.00","299.37","299.37","293.97","196.83K","-0.16%"
"06/08/2018","299.59","297.43","300.43","295.08","109.87K","0.87%"
"06/11/2018","301.00","299.92","301.58","297.56","65.43K","0.47%"
"06/12/2018","300.79","300.31","304.36","300.04","84.00K","-0.07%"
"06/13/2018","301.06","301.23","304.32","300.22","194.63K","0.09%"
"06/14/2018","303.70","300.32","303.87","300.01","83.58K","0.88%"
"06/15/2018","303.88","302.36","304.31","299.64","190.38K","0.06%"
"06/18/2018","301.46","301.91","303.01","299.54","178.56K","-0.80%"
"06/19/2018","299.87","300.31","302.56","296.75","120.43K","-0.53%"
"06/20/2018","296.76","298.50","302.38","294.00","132.22K","-1.04%"
"06/21/2018","299.84","298.84","302.82","297.67","157.14K","1.04%"
"06/22/2018","298.32","301.34","301.34","297.41","130.43K","-0.51%"
"06/25/2018","289.62","299.40","300.77","285.83","153.20K","-2.92%"
"06/26/2018","290.41","289.50","292.81","289.24","120.41K","0.27%"
"06/27/2018","284.46","289.91","294.30","284.30","106.64K","-2.05%"
"06/28/2018","288.26","284.51","288.33","282.66","131.39K","1.34%"
"06/29/2018","288.54","289.34","291.88","287.02","140.53K","0.10%"
"07/02/2018","289.28","287.26","290.90","285.83","148.22K","0.26%"
"07/03/2018","292.90","291.06","294.70","289.20","60.93K","1.25%"
"07/05/2018","294.94","294.23","297.66","290.65","275.30K","0.70%"
"07/06/2018","297.92","295.39","300.28","295.17","86.20K","1.01%"
"07/09/2018","303.07","299.59","304.82","296.05","102.15K","1.73%"
"07/10/2018","302.95","303.98","305.00","300.29","99.93K","-0.04%"
"07/11/2018","299.47","301.60","301.77","297.85","127.89K","-1.15%"
"07/12/2018","302.27","301.88","303.88","299.28","86.30K","0.93%"
"07/13/2018","303.95","302.39","306.39","301.66","102.58K","0.56%"
"07/16/2018","300.52","304.93","306.18","298.69","67.81K","-1.13%"
"07/17/2018","302.62","299.63","303.18","298.88","75.22K","0.70%"
"07/18/2018","303.50","302.29","304.23","300.35","74.96K","0.29%"
"07/19/2018","306.39","303.15","307.63","303.15","101.20K","0.95%"
"07/20/2018","305.44","306.84","307.48","305.00","49.24K","-0.31%"
"07/23/2018","308.12","305.87","309.62","302.26","122.87K","0.88%"
"07/24/2018","307.99","309.62","311.20","305.14","143.61K","-0.04%"
"07/25/2018","311.79","308.50","311.79","307.80","83.81K","1.23%"
"07/26/2018","313.61","312.04","313.83","309.15","95.47K","0.58%"
"07/27/2018","307.44","314.23","314.23","302.86","118.95K","-1.97%"
"07/30/2018","304.14","307.32","307.71","301.61","86.65K","-1.07%"
"07/31/2018","306.65","305.04","309.00","304.43","110.86K","0.83%"
"08/01/2018","311.73","308.82","314.33","308.31","121.16K","1.66%"
"08/02/2018","311.72","309.83","314.12","309.06","186.51K","0.00%"
"08/03/2018","312.18","311.17","313.89","308.10","83.15K","0.15%"
"08/06/2018","315.45","313.00","316.76","313.00","156.38K","1.05%"
"08/07/2018","308.97","316.00","317.28","307.34","239.13K","-2.05%"
"08/08/2018","316.40","345.15","345.15","314.43","307.67K","2.40%"
"08/09/2018","318.11","316.79","321.41","316.08","104.76K","0.54%"
"08/10/2018","319.80","315.98","321.48","315.98","155.85K","0.53%"
"08/13/2018","322.93","320.16","324.67","318.91","178.88K","0.98%"
"08/14/2018","325.03","323.52","328.95","321.64","124.72K","0.65%"
"08/15/2018","320.12","323.34","324.60","316.12","134.42K","-1.51%"
"08/16/2018","317.88","320.60","323.00","316.78","90.94K","-0.70%"
"08/17/2018","316.56","317.85","319.23","314.00","144.52K","-0.42%"
"08/20/2018","315.33","316.72","318.94","311.45","101.58K","-0.39%"
"08/21/2018","318.62","315.20","321.29","315.20","98.89K","1.04%"
"08/22/2018","321.32","317.47","321.55","315.89","83.74K","0.85%"
"08/23/2018","317.05","320.92","321.71","316.37","159.39K","-1.33%"
"08/24/2018","318.76","316.73","319.93","316.73","79.33K","0.54%"
"08/27/2018","324.76","319.96","325.64","319.96","106.40K","1.88%"
"08/28/2018","324.66","325.59","326.00","321.63","146.64K","-0.03%"
"08/29/2018","324.58","324.67","325.40","322.79","71.51K","-0.02%"
"08/30/2018","325.78","324.11","328.59","323.71","99.47K","0.37%"
"08/31/2018","325.30","325.55","326.35","321.73","66.90K","-0.15%"
"09/04/2018","326.15","324.76","326.60","323.34","88.61K","0.26%"
"09/05/2018","315.50","325.01","325.33","314.49","121.01K","-3.27%"
"09/06/2018","316.77","314.55","320.45","313.41","155.28K","0.40%"
"09/07/2018","313.74","315.56","317.18","313.02","96.34K","-0.96%"
"09/10/2018","308.00","314.52","314.93","307.85","163.97K","-1.83%"
"09/11/2018","308.37","306.57","311.70","305.46","156.84K","0.12%"
"09/12/2018","305.73","307.13","308.42","303.65","176.51K","-0.86%"
"09/13/2018","307.55","306.49","309.37","303.71","136.38K","0.60%"
"09/14/2018","309.11","307.01","311.01","305.83","197.65K","0.51%"
"09/17/2018","295.96","308.64","308.64","295.42","220.01K","-4.25%"
"09/18/2018","298.55","296.45","299.05","294.10","216.94K","0.88%"
"09/19/2018","298.47","298.92","299.16","296.44","98.31K","-0.03%"
"09/20/2018","301.03","299.37","302.38","297.07","160.90K","0.86%"
"09/21/2018","298.49","301.46","301.46","295.68","340.92K","-0.84%"
"09/24/2018","308.97","309.90","311.61","303.41","212.97K","3.51%"
"09/25/2018","310.41","309.88","312.37","307.79","177.49K","0.47%"
"09/26/2018","308.15","310.88","314.98","307.52","136.33K","-0.73%"
"09/27/2018","312.34","313.71","315.34","310.25","163.87K","1.36%"
"09/28/2018","312.99","311.66","313.94","311.66","156.61K","0.21%"
"10/01/2018","309.00","315.00","315.00","307.97","129.13K","-1.27%"
"10/02/2018","304.35","308.45","308.50","303.55","207.84K","-1.50%"
"10/03/2018","306.19","305.72","309.69","305.30","106.80K","0.60%"
"10/04/2018","300.61","306.00","306.93","299.03","117.41K","-1.82%"
"10/05/2018","298.29","301.22","303.53","295.04","125.10K","-0.77%"
"10/08/2018","291.43","297.86","298.91","288.90","155.30K","-2.30%"
"10/09/2018","289.82","289.81","294.88","288.98","173.03K","-0.55%"
"10/10/2018","281.82","289.91","290.34","281.82","207.41K","-2.76%"
"10/11/2018","275.31","281.24","282.84","273.05","185.94K","-2.31%"
"10/12/2018","281.68","280.54","286.07","278.00","166.59K","2.31%"
"10/15/2018","277.78","279.85","281.32","274.57","194.70K","-1.38%"
"10/16/2018","289.31","280.52","292.42","278.25","220.60K","4.15%"
"10/17/2018","287.69","293.99","293.99","285.25","99.05K","-0.56%"
"10/18/2018","284.42","288.13","288.69","281.45","124.21K","-1.14%"
"10/19/2018","280.96","285.86","288.46","279.61","65.21K","-1.22%"
"10/22/2018","278.48","282.08","282.08","273.74","166.42K","-0.88%"
"10/23/2018","276.35","275.57","277.97","266.48","193.14K","-0.76%"
"10/24/2018","267.28","276.27","277.57","266.66","240.58K","-3.28%"
"10/25/2018","270.73","269.31","274.16","268.91","89.51K","1.29%"
"10/26/2018","268.79","266.56","272.19","263.42","104.84K","-0.72%"
"10/29/2018","265.92","272.78","273.90","262.57","252.22K","-1.07%"
"10/30/2018","269.50","264.44","271.15","263.22","110.29K","1.35%"
"10/31/2018","272.85","272.36","278.35","270.17","118.98K","1.24%"
"11/01/2018","275.34","273.46","277.70","262.45","392.83K","0.91%"
"11/02/2018","269.77","262.00","270.99","260.00","685.96K","-2.02%"
"11/05/2018","276.24","269.80","279.39","269.80","288.62K","2.40%"
"11/06/2018","278.88","275.10","282.73","275.10","198.39K","0.96%"
"11/07/2018","283.17","279.63","283.80","278.01","197.89K","1.54%"
"11/08/2018","283.20","282.16","285.46","281.95","137.95K","0.01%"
"11/09/2018","276.42","281.29","281.29","276.01","333.56K","-2.39%"
"11/12/2018","269.88","275.82","278.45","269.01","207.97K","-2.37%"
"11/13/2018","268.83","272.32","276.14","267.66","174.93K","-0.39%"
"11/14/2018","268.28","271.01","271.53","267.71","291.88K","-0.20%"
"11/15/2018","273.22","267.26","274.07","264.47","153.06K","1.84%"
"11/16/2018","276.17","271.31","279.06","270.58","130.31K","1.08%"
"11/19/2018","268.39","274.92","274.92","268.01","274.53K","-2.82%"
"11/20/2018","264.78","265.44","270.05","261.99","253.21K","-1.35%"
"11/21/2018","269.16","265.95","270.31","265.95","165.92K","1.65%"
"11/23/2018","273.04","267.72","275.25","267.72","74.92K","1.44%"
"11/26/2018","272.59","274.85","275.17","269.32","272.99K","-0.16%"
"11/27/2018","269.98","270.54","273.10","269.04","189.46K","-0.96%"
"11/28/2018","274.75","270.66","276.25","268.29","265.59K","1.77%"
"11/29/2018","275.32","273.54","278.42","273.54","276.88K","0.21%"
"11/30/2018","274.46","274.12","275.91","272.67","157.02K","-0.31%"
"12/03/2018","277.45","277.34","278.85","273.27","147.96K","1.09%"
"12/04/2018","266.40","277.85","277.85","265.72","213.94K","-3.98%"
"12/06/2018","262.98","262.52","264.05","259.45","237.47K","-1.28%"
"12/07/2018","256.23","262.96","264.13","255.66","263.15K","-2.57%"
"12/10/2018","251.70","255.98","255.98","250.19","243.44K","-1.77%"
"12/11/2018","252.06","254.81","256.44","250.55","243.77K","0.14%"
"12/12/2018","254.25","256.11","259.62","253.76","194.19K","0.87%"
"12/13/2018","250.28","255.30","255.52","246.82","201.14K","-1.56%"
"12/14/2018","247.82","248.04","249.94","246.76","191.98K","-0.98%"
"12/17/2018","243.02","247.58","249.37","241.56","179.59K","-1.94%"
"12/18/2018","239.95","244.40","247.19","237.04","153.02K","-1.26%"
"12/19/2018","234.93","240.43","243.36","232.08","264.32K","-2.09%"
"12/20/2018","231.04","233.92","236.94","228.65","154.58K","-1.66%"
"12/21/2018","225.45","231.62","232.00","224.81","222.68K","-2.42%"
"12/24/2018","220.10","224.54","224.54","220.10","45.19K","-2.37%"
"12/26/2018","227.43","221.00","227.75","220.05","202.71K","3.33%"
"12/27/2018","229.88","224.94","229.88","222.67","160.60K","1.08%"
"12/28/2018","229.66","231.34","234.47","228.20","107.70K","-0.10%"
"12/31/2018","232.22","231.32","233.69","227.50","165.11K","1.11%"
"01/02/2019","228.08","229.73","231.23","226.73","165.79K","-1.78%"
"01/03/2019","224.30","228.18","231.26","223.89","180.23K","-1.66%"
"01/04/2019","226.28","224.50","228.34","224.11","446.78K","0.88%"
"01/07/2019","233.67","227.52","234.82","227.26","354.34K","3.27%"
"01/08/2019","235.53","235.00","236.91","232.48","235.81K","0.80%"
"01/09/2019","237.37","236.61","241.40","236.61","266.06K","0.78%"
"01/10/2019","240.87","235.88","242.15","235.68","227.02K","1.47%"
"01/11/2019","241.42","240.30","242.00","238.20","127.81K","0.23%"
"01/14/2019","236.37","238.50","239.45","236.37","261.23K","-2.09%"
"01/15/2019","237.90","236.68","239.28","236.68","282.19K","0.65%"
"01/16/2019","236.56","238.75","240.53","236.32","216.10K","-0.56%"
"01/17/2019","237.84","236.23","239.65","235.44","248.19K","0.54%"
"01/18/2019","239.65","239.81","242.55","237.89","321.12K","0.76%"
"01/22/2019","235.52","238.87","240.90","234.29","167.16K","-1.72%"
"01/23/2019","237.09","236.31","237.71","233.18","162.78K","0.67%"
"01/24/2019","237.07","237.00","239.03","236.29","146.74K","-0.01%"
"01/25/2019","240.31","238.55","240.68","236.53","206.87K","1.37%"
"01/28/2019","238.07","237.86","238.21","235.52","124.84K","-0.93%"
"01/29/2019","239.30","238.04","241.90","238.01","190.40K","0.52%"
"01/30/2019","244.98","240.00","245.10","238.48","198.16K","2.37%"
"01/31/2019","249.87","244.56","250.11","243.74","222.45K","2.00%"
"02/01/2019","251.12","249.75","252.62","248.08","264.39K","0.50%"
"02/04/2019","250.70","251.38","251.38","247.90","186.86K","-0.17%"
"02/05/2019","250.15","250.85","253.20","249.73","174.49K","-0.22%"
"02/06/2019","252.70","250.14","253.36","248.43","206.80K","1.02%"
"02/07/2019","248.03","251.51","252.64","246.70","227.51K","-1.85%"
"02/08/2019","248.85","246.44","249.02","245.59","278.10K","0.33%"
"02/11/2019","252.93","250.30","254.85","250.05","468.54K","1.64%"
"02/12/2019","258.10","254.41","259.35","253.11","368.93K","2.04%"
"02/13/2019","261.79","258.60","262.38","256.25","277.44K","1.43%"
"02/14/2019","261.42","261.48","265.74","260.37","226.25K","-0.14%"
"02/15/2019","270.34","262.99","270.49","262.38","268.87K","3.41%"
"02/19/2019","270.06","269.33","270.34","266.95","274.86K","-0.10%"
"02/20/2019","272.74","270.23","273.05","269.23","202.91K","0.99%"
"02/21/2019","274.34","273.28","275.80","271.25","233.33K","0.59%"
"02/22/2019","274.26","275.35","275.71","271.70","247.55K","-0.03%"
"02/25/2019","275.22","276.02","277.36","274.00","261.54K","0.35%"
"02/26/2019","272.87","273.48","275.71","271.83","202.32K","-0.85%"
"02/27/2019","273.99","272.31","275.50","271.13","225.58K","0.41%"
"02/28/2019","270.90","273.71","275.58","268.96","409.55K","-1.13%"
"03/01/2019","317.41","302.00","323.94","302.00","952.38K","17.17%"
"03/04/2019","312.79","315.50","316.35","309.33","479.61K","-1.46%"
"03/05/2019","312.32","313.72","316.52","311.00","300.43K","-0.15%"
"03/06/2019","308.73","311.58","312.76","307.26","274.48K","-1.15%"
"03/07/2019","302.60","306.81","306.81","301.87","338.03K","-1.99%"
"03/08/2019","303.86","300.41","305.21","299.55","430.55K","0.42%"
"03/11/2019","308.27","305.18","309.36","304.58","381.11K","1.45%"
"03/12/2019","308.87","308.95","310.91","306.33","205.18K","0.19%"
"03/13/2019","309.42","310.55","313.07","308.47","240.02K","0.18%"
"03/14/2019","311.87","309.52","312.98","307.79","237.31K","0.79%"
"03/15/2019","310.33","312.24","313.11","309.07","297.34K","-0.49%"
"03/18/2019","313.67","310.17","313.80","308.44","384.73K","1.08%"
"03/19/2019","314.12","315.00","317.52","312.62","228.57K","0.14%"
"03/20/2019","310.72","313.82","314.74","310.72","222.02K","-1.08%"
"03/21/2019","315.57","308.70","315.74","308.44","119.96K","1.56%"
"03/22/2019","305.59","314.07","314.95","305.40","188.32K","-3.16%"
"03/25/2019","307.19","305.03","308.95","302.32","196.82K","0.52%"
"03/26/2019","307.69","309.44","310.87","306.80","211.87K","0.16%"
"03/27/2019","302.42","307.12","308.02","299.54","179.88K","-1.71%"
"03/28/2019","303.75","302.74","304.32","297.09","109.05K","0.44%"
"03/29/2019","305.68","306.01","307.40","304.65","280.70K","0.64%"
"04/01/2019","307.40","308.44","310.50","305.12","199.31K","0.56%"
"04/02/2019","309.14","307.70","311.54","305.28","193.51K","0.57%"
"04/03/2019","305.88","311.62","311.73","304.85","227.57K","-1.05%"
"04/04/2019","305.80","306.49","307.09","302.31","123.41K","-0.03%"
"04/05/2019","308.61","305.99","310.51","305.99","156.06K","0.92%"
"04/08/2019","309.84","307.34","310.15","305.02","94.97K","0.40%"
"04/09/2019","305.92","307.87","308.44","304.95","201.11K","-1.27%"
"04/10/2019","307.60","306.84","308.06","305.03","318.12K","0.55%"
"04/11/2019","305.98","307.87","308.44","305.43","156.97K","-0.53%"
"04/12/2019","308.53","308.06","310.67","305.42","329.66K","0.83%"
"04/15/2019","306.74","308.58","309.94","306.39","264.40K","-0.58%"
"04/16/2019","301.44","308.16","309.83","300.65","226.32K","-1.73%"
"04/17/2019","291.83","301.96","301.96","287.89","364.41K","-3.19%"
"04/18/2019","294.13","293.37","295.60","288.39","262.70K","0.79%"
"04/22/2019","293.49","293.49","297.43","292.47","156.02K","-0.22%"
"04/23/2019","295.14","293.00","295.98","289.03","275.48K","0.56%"
"04/24/2019","293.78","294.85","295.75","291.40","194.78K","-0.46%"
"04/25/2019","298.90","293.36","299.32","291.73","183.62K","1.74%"
"04/26/2019","301.80","298.75","301.90","296.86","227.36K","0.97%"
"04/29/2019","299.24","301.65","302.44","298.97","81.23K","-0.85%"
"04/30/2019","300.93","298.67","301.63","295.94","118.22K","0.56%"
"05/01/2019","297.08","301.35","301.35","296.58","114.06K","-1.28%"
"05/02/2019","302.20","296.87","302.94","293.98","154.10K","1.72%"
