"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","53.66","52.65","53.80","52.65","31.77M","1.88%"
"01/03/2018","54.58","53.70","54.80","53.67","31.32M","1.71%"
"01/04/2018","54.79","54.85","55.20","54.71","26.05M","0.38%"
"01/05/2018","55.51","55.17","55.68","55.09","30.25M","1.31%"
"01/08/2018","55.71","55.55","55.96","55.50","24.64M","0.36%"
"01/09/2018","55.64","55.92","55.92","55.41","26.81M","-0.13%"
"01/10/2018","55.51","55.35","55.64","55.20","20.73M","-0.23%"
"01/11/2018","55.60","55.62","55.74","55.32","22.42M","0.16%"
"01/12/2018","56.53","55.51","56.57","55.40","38.59M","1.67%"
"01/16/2018","56.53","57.02","57.44","56.33","36.46M","0.00%"
"01/17/2018","56.95","56.82","56.97","56.17","27.83M","0.74%"
"01/18/2018","56.80","56.97","57.03","56.22","27.50M","-0.26%"
"01/19/2018","57.17","56.90","57.19","56.62","30.55M","0.65%"
"01/22/2018","58.21","57.19","58.34","57.09","29.55M","1.82%"
"01/23/2018","58.81","58.53","58.93","58.36","39.14M","1.03%"
"01/24/2018","58.56","59.25","59.35","58.37","37.13M","-0.43%"
"01/25/2018","59.11","59.04","59.25","58.59","29.98M","0.94%"
"01/26/2018","59.38","59.38","59.38","58.40","42.17M","0.46%"
"01/29/2018","59.32","59.40","59.90","59.20","31.49M","-0.10%"
"01/30/2018","58.87","58.89","59.40","58.73","37.34M","-0.76%"
"01/31/2018","59.11","59.19","59.32","58.60","36.02M","0.41%"
"02/01/2018","59.08","58.80","59.37","58.47","73.51M","-0.05%"
"02/02/2018","55.96","56.37","56.56","55.56","117.84M","-5.28%"
"02/05/2018","53.12","55.03","55.75","52.84","83.55M","-5.08%"
"02/06/2018","54.22","51.70","54.37","51.50","76.63M","2.07%"
"02/07/2018","52.77","54.25","54.33","52.73","51.94M","-2.67%"
"02/08/2018","50.39","52.99","53.20","50.23","66.79M","-4.51%"
"02/09/2018","52.31","51.29","52.59","49.85","98.36M","3.81%"
"02/12/2018","52.73","52.83","53.28","52.27","56.24M","0.80%"
"02/13/2018","52.71","52.50","53.06","52.35","31.59M","-0.04%"
"02/14/2018","53.63","52.72","53.77","52.49","41.30M","1.75%"
"02/15/2018","54.57","54.17","54.70","53.36","37.40M","1.75%"
"02/16/2018","54.77","54.67","55.42","54.58","39.95M","0.37%"
"02/20/2018","55.18","54.64","55.81","54.50","33.75M","0.75%"
"02/21/2018","55.69","55.45","56.81","55.38","41.49M","0.92%"
"02/22/2018","55.49","55.96","56.27","55.26","28.01M","-0.36%"
"02/23/2018","56.40","55.93","56.45","55.42","25.29M","1.64%"
"02/26/2018","57.19","56.59","57.21","56.47","30.91M","1.40%"
"02/27/2018","55.88","57.19","57.21","55.84","42.96M","-2.29%"
"02/28/2018","55.20","56.10","56.38","55.15","49.29M","-1.22%"
"03/01/2018","53.57","55.48","55.56","53.36","55.34M","-2.95%"
"03/02/2018","54.21","52.90","54.34","52.51","50.16M","1.19%"
"03/05/2018","54.74","53.91","55.06","53.61","28.65M","0.98%"
"03/06/2018","55.05","55.11","55.28","54.73","23.38M","0.57%"
"03/07/2018","55.75","54.64","55.81","54.50","30.75M","1.27%"
"03/08/2018","56.47","55.86","56.57","55.86","33.86M","1.29%"
"03/09/2018","58.04","56.98","58.05","56.71","42.66M","2.78%"
"03/12/2018","58.30","58.25","58.91","57.96","44.31M","0.45%"
"03/13/2018","57.00","58.59","58.90","56.73","43.14M","-2.23%"
"03/14/2018","57.44","57.29","57.99","57.12","41.87M","0.77%"
"03/15/2018","57.53","57.48","58.12","56.78","33.38M","0.16%"
"03/16/2018","56.72","57.77","57.84","56.57","58.66M","-1.41%"
"03/19/2018","55.00","55.89","55.97","54.45","63.66M","-3.03%"
"03/20/2018","54.79","54.92","55.28","54.12","54.60M","-0.38%"
"03/21/2018","54.70","54.63","55.44","54.36","44.90M","-0.16%"
"03/22/2018","52.66","54.00","54.20","52.48","69.31M","-3.73%"
"03/23/2018","51.33","52.57","53.34","51.24","49.88M","-2.53%"
"03/26/2018","52.70","52.53","52.96","50.53","65.98M","2.67%"
"03/27/2018","50.35","53.20","53.23","49.88","60.82M","-4.46%"
"03/28/2018","50.26","50.10","51.25","49.20","77.70M","-0.18%"
"03/29/2018","51.86","50.56","52.40","50.20","69.34M","3.18%"
"04/02/2018","50.63","51.38","51.98","49.71","65.07M","-2.37%"
"04/03/2018","50.93","50.81","51.25","49.86","51.32M","0.59%"
"04/04/2018","51.49","49.91","51.64","49.83","50.72M","1.10%"
"04/05/2018","51.63","52.32","52.34","51.20","35.84M","0.27%"
"04/06/2018","50.50","51.16","51.80","50.31","40.13M","-2.19%"
"04/09/2018","51.00","51.00","52.23","50.96","33.22M","0.99%"
"04/10/2018","51.83","51.51","52.06","50.77","36.73M","1.63%"
"04/11/2018","51.25","51.60","51.79","50.96","34.06M","-1.12%"
"04/12/2018","51.86","51.57","52.23","51.30","32.90M","1.19%"
"04/13/2018","51.80","52.34","52.65","51.51","25.41M","-0.12%"
"04/16/2018","52.30","52.28","52.57","51.70","29.78M","0.97%"
"04/17/2018","53.97","53.06","54.25","52.85","54.58M","3.19%"
"04/18/2018","53.77","53.95","54.10","53.53","31.13M","-0.37%"
"04/19/2018","54.47","53.45","54.88","53.45","39.88M","1.30%"
"04/20/2018","53.87","54.21","54.74","53.60","42.43M","-1.10%"
"04/23/2018","53.69","54.15","54.40","53.33","69.59M","-0.33%"
"04/24/2018","51.13","52.96","53.22","50.64","128.22M","-4.77%"
"04/25/2018","51.15","51.49","51.80","50.85","57.86M","0.04%"
"04/26/2018","52.17","51.66","52.60","51.02","50.93M","1.99%"
"04/27/2018","51.57","52.28","52.58","51.38","40.75M","-1.15%"
"04/30/2018","50.93","51.72","51.92","50.91","34.49M","-1.24%"
"05/01/2018","52.04","50.81","52.09","50.53","35.33M","2.18%"
"05/02/2018","51.30","51.70","52.20","51.16","34.70M","-1.42%"
"05/03/2018","51.31","51.27","51.53","50.39","39.28M","0.02%"
"05/04/2018","52.55","50.98","52.59","50.90","36.89M","2.42%"
"05/07/2018","52.97","52.69","53.25","52.51","34.40M","0.80%"
"05/08/2018","52.93","53.23","53.26","52.58","26.03M","-0.08%"
"05/09/2018","54.45","53.20","54.70","53.11","47.16M","2.87%"
"05/10/2018","55.27","54.75","55.47","54.69","36.41M","1.51%"
"05/11/2018","55.17","55.02","55.45","54.86","30.50M","-0.18%"
"05/14/2018","55.33","55.28","55.91","55.24","39.34M","0.29%"
"05/15/2018","54.24","54.84","54.96","53.94","35.74M","-1.97%"
"05/16/2018","54.20","54.25","54.72","54.08","25.63M","-0.07%"
"05/17/2018","54.06","54.07","54.55","53.82","25.74M","-0.26%"
"05/18/2018","53.48","53.30","53.69","53.23","35.48M","-1.07%"
"05/21/2018","54.20","53.95","54.66","53.90","25.18M","1.35%"
"05/22/2018","53.77","54.49","54.59","53.61","22.23M","-0.79%"
"05/23/2018","54.30","53.50","54.40","53.35","23.74M","0.99%"
"05/24/2018","54.27","54.34","54.36","53.62","20.60M","-0.06%"
"05/25/2018","54.20","54.33","54.48","54.13","22.22M","-0.13%"
"05/29/2018","53.40","53.80","54.07","53.15","36.08M","-1.48%"
"05/30/2018","53.87","53.67","53.95","53.33","28.69M","0.88%"
"05/31/2018","55.00","54.10","55.50","53.90","79.37M","2.10%"
"06/01/2018","56.75","55.64","56.91","55.60","63.20M","3.18%"
"06/04/2018","57.65","56.92","57.89","56.85","44.75M","1.59%"
"06/05/2018","57.55","57.73","58.05","57.37","32.96M","-0.17%"
"06/06/2018","57.35","57.64","57.74","56.82","34.93M","-0.35%"
"06/07/2018","56.72","57.23","57.29","56.31","36.11M","-1.10%"
"06/08/2018","56.64","56.56","56.94","56.16","27.28M","-0.14%"
"06/11/2018","57.05","56.65","57.39","56.57","24.80M","0.72%"
"06/12/2018","57.41","57.05","57.44","57.05","26.09M","0.63%"
"06/13/2018","57.21","57.61","57.78","57.17","34.30M","-0.35%"
"06/14/2018","58.01","57.61","58.30","57.53","35.42M","1.40%"
"06/15/2018","57.96","58.00","58.20","57.68","44.44M","-0.09%"
"06/18/2018","59.18","57.63","59.21","57.55","33.04M","2.10%"
"06/19/2018","58.93","58.51","59.14","58.08","47.28M","-0.42%"
"06/20/2018","59.20","59.16","60.07","59.10","51.69M","0.46%"
"06/21/2018","58.47","59.28","59.52","58.17","44.97M","-1.23%"
"06/22/2018","58.46","58.57","58.75","57.98","34.22M","-0.02%"
"06/25/2018","56.96","57.75","57.80","55.99","57.68M","-2.57%"
"06/26/2018","56.63","57.21","57.34","56.45","34.69M","-0.58%"
"06/27/2018","55.85","56.80","57.31","55.84","34.54M","-1.38%"
"06/28/2018","56.34","55.62","56.70","55.30","29.73M","0.88%"
"06/29/2018","56.46","56.62","57.07","56.35","31.56M","0.21%"
"07/02/2018","57.11","55.77","57.15","55.33","23.22M","1.15%"
"07/03/2018","55.81","57.47","57.50","55.72","16.45M","-2.28%"
"07/05/2018","57.06","56.23","57.21","56.16","28.59M","2.24%"
"07/06/2018","57.75","57.09","57.81","56.86","21.82M","1.21%"
"07/09/2018","58.36","58.00","58.40","57.86","21.58M","1.06%"
"07/10/2018","58.36","58.50","58.67","58.13","21.33M","0.00%"
"07/11/2018","58.57","57.78","59.02","57.77","33.25M","0.36%"
"07/12/2018","60.06","58.74","60.10","58.66","44.15M","2.54%"
"07/13/2018","60.22","60.14","60.52","59.76","32.64M","0.27%"
"07/16/2018","59.83","60.19","60.44","59.67","26.78M","-0.65%"
"07/17/2018","60.65","59.14","60.94","59.10","40.16M","1.37%"
"07/18/2018","60.65","60.43","61.08","60.23","38.95M","0.00%"
"07/19/2018","59.95","60.33","60.82","59.89","38.34M","-1.15%"
"07/20/2018","59.89","59.96","60.54","59.83","37.97M","-0.10%"
"07/23/2018","60.55","59.78","60.76","59.60","65.45M","1.10%"
"07/24/2018","62.91","63.55","63.75","62.21","107.60M","3.90%"
"07/25/2018","63.80","62.63","63.91","62.45","51.51M","1.41%"
"07/26/2018","64.28","63.36","64.37","63.15","54.69M","0.75%"
"07/27/2018","62.64","64.46","64.57","62.22","48.36M","-2.55%"
"07/30/2018","61.50","62.25","62.64","61.21","43.90M","-1.82%"
"07/31/2018","61.36","61.59","62.06","60.81","39.38M","-0.23%"
"08/01/2018","61.65","61.96","62.30","61.25","36.99M","0.47%"
"08/02/2018","62.06","60.92","62.22","60.90","34.70M","0.67%"
"08/03/2018","61.91","62.26","62.33","61.47","21.26M","-0.24%"
"08/06/2018","61.88","62.08","62.12","61.53","22.12M","-0.05%"
"08/07/2018","62.79","62.60","63.30","62.59","42.51M","1.47%"
"08/08/2018","63.07","62.84","63.59","62.61","34.37M","0.45%"
"08/09/2018","63.22","63.14","63.60","63.01","27.33M","0.24%"
"08/10/2018","62.63","62.96","63.06","62.36","26.69M","-0.93%"
"08/13/2018","62.43","62.56","63.30","62.35","27.62M","-0.32%"
"08/14/2018","62.91","62.62","63.03","61.98","28.08M","0.77%"
"08/15/2018","61.61","62.21","62.60","61.31","37.05M","-2.07%"
"08/16/2018","61.20","62.10","62.18","60.98","32.18M","-0.67%"
"08/17/2018","60.79","61.10","61.35","60.20","33.09M","-0.67%"
"08/20/2018","61.10","61.03","61.30","60.44","22.22M","0.51%"
"08/21/2018","60.87","61.15","61.64","60.75","23.08M","-0.38%"
"08/22/2018","61.09","60.71","61.33","60.66","22.30M","0.36%"
"08/23/2018","61.06","60.99","61.76","60.97","24.67M","-0.05%"
"08/24/2018","61.84","61.30","61.87","61.07","24.45M","1.28%"
"08/27/2018","62.81","62.21","62.89","62.03","28.58M","1.57%"
"08/28/2018","62.29","62.80","62.83","62.15","27.33M","-0.83%"
"08/29/2018","63.23","62.75","63.36","62.64","36.93M","1.51%"
"08/30/2018","62.72","63.17","63.47","62.36","30.10M","-0.81%"
"08/31/2018","61.59","62.61","62.63","61.29","42.31M","-1.80%"
"09/04/2018","60.57","61.13","61.39","60.33","41.46M","-1.66%"
"09/05/2018","59.95","60.46","60.74","58.77","53.99M","-1.02%"
"09/06/2018","59.20","59.93","59.95","58.18","46.85M","-1.25%"
"09/07/2018","58.88","58.60","59.43","58.46","32.66M","-0.54%"
"09/10/2018","58.75","59.21","59.33","58.53","27.68M","-0.22%"
