"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","1,116.31","1,139.82","1,139.82","1,112.12","32.06K","-2.00%"
"01/03/2018","1,119.72","1,113.74","1,120.00","1,111.55","30.65K","0.31%"
"01/04/2018","1,118.37","1,119.00","1,120.70","1,112.22","57.51K","-0.12%"
"01/05/2018","1,117.33","1,120.00","1,121.78","1,113.53","27.37K","-0.09%"
"01/08/2018","1,116.72","1,117.90","1,118.88","1,111.56","29.95K","-0.05%"
"01/09/2018","1,122.66","1,119.20","1,130.00","1,116.73","32.63K","0.53%"
"01/10/2018","1,106.33","1,122.66","1,130.00","1,104.30","54.15K","-1.45%"
"01/11/2018","1,105.17","1,110.00","1,112.49","1,097.75","60.07K","-0.10%"
"01/12/2018","1,123.37","1,111.28","1,125.15","1,106.09","30.63K","1.65%"
"01/16/2018","1,126.71","1,132.00","1,138.94","1,123.00","35.70K","0.30%"
"01/17/2018","1,116.35","1,130.00","1,130.05","1,113.13","50.78K","-0.92%"
"01/18/2018","1,106.92","1,118.32","1,118.85","1,099.00","57.20K","-0.84%"
"01/19/2018","1,122.00","1,109.90","1,122.00","1,102.21","78.62K","1.36%"
"01/22/2018","1,121.51","1,121.02","1,125.90","1,115.24","25.96K","-0.04%"
"01/23/2018","1,127.66","1,125.00","1,137.37","1,116.96","45.94K","0.55%"
"01/24/2018","1,116.76","1,128.61","1,135.90","1,115.06","38.54K","-0.97%"
"01/25/2018","1,121.85","1,120.61","1,126.00","1,116.77","40.39K","0.46%"
"01/26/2018","1,116.94","1,122.25","1,124.99","1,114.44","30.80K","-0.44%"
"01/29/2018","1,113.96","1,119.01","1,119.96","1,107.00","31.70K","-0.27%"
"01/30/2018","1,138.67","1,108.13","1,146.73","1,102.23","52.47K","2.22%"
"01/31/2018","1,147.69","1,140.21","1,156.99","1,139.04","52.97K","0.79%"
"02/01/2018","1,148.51","1,148.27","1,156.70","1,132.94","35.51K","0.07%"
"02/02/2018","1,117.37","1,142.93","1,151.35","1,104.22","54.27K","-2.71%"
"02/05/2018","1,087.10","1,104.59","1,125.75","1,085.00","37.53K","-2.71%"
"02/06/2018","1,095.00","1,070.00","1,107.50","1,049.95","53.25K","0.73%"
"02/07/2018","1,103.92","1,135.00","1,139.87","1,096.02","46.47K","0.81%"
"02/08/2018","1,058.06","1,103.74","1,116.90","1,058.06","48.35K","-4.15%"
"02/09/2018","1,084.97","1,067.18","1,090.33","1,054.50","35.82K","2.54%"
"02/12/2018","1,088.32","1,092.63","1,107.80","1,078.55","40.19K","0.31%"
"02/13/2018","1,097.52","1,085.89","1,099.39","1,077.56","25.44K","0.85%"
"02/14/2018","1,115.01","1,092.00","1,121.45","1,088.85","23.47K","1.59%"
"02/15/2018","1,132.94","1,122.00","1,138.19","1,122.00","21.75K","1.61%"
"02/16/2018","1,130.06","1,130.27","1,143.82","1,125.00","28.00K","-0.25%"
"02/20/2018","1,108.00","1,123.84","1,129.83","1,107.84","36.15K","-1.95%"
"02/21/2018","1,112.73","1,110.90","1,131.07","1,110.37","20.49K","0.43%"
"02/22/2018","1,107.00","1,117.80","1,123.02","1,105.00","19.42K","-0.51%"
"02/23/2018","1,121.90","1,111.77","1,122.89","1,107.00","17.23K","1.35%"
"02/26/2018","1,128.24","1,124.74","1,132.46","1,118.47","18.07K","0.57%"
"02/27/2018","1,123.09","1,131.00","1,136.10","1,123.09","24.79K","-0.46%"
"02/28/2018","1,112.00","1,125.00","1,129.86","1,111.11","26.34K","-0.99%"
"03/01/2018","1,102.66","1,119.49","1,122.50","1,101.15","25.85K","-0.84%"
"03/02/2018","1,116.30","1,100.00","1,117.90","1,090.00","20.73K","1.24%"
"03/05/2018","1,130.46","1,109.30","1,139.99","1,105.82","27.17K","1.27%"
"03/06/2018","1,138.69","1,133.85","1,144.70","1,125.00","27.12K","0.73%"
"03/07/2018","1,129.07","1,128.05","1,142.18","1,128.05","25.99K","-0.84%"
"03/08/2018","1,135.73","1,133.80","1,136.46","1,126.21","20.46K","0.59%"
"03/09/2018","1,145.00","1,135.73","1,154.74","1,135.73","22.31K","0.82%"
"03/12/2018","1,139.61","1,145.00","1,152.00","1,136.25","17.21K","-0.47%"
"03/13/2018","1,147.18","1,145.00","1,155.00","1,139.50","17.76K","0.66%"
"03/14/2018","1,142.27","1,150.80","1,156.90","1,140.02","29.15K","-0.43%"
"03/15/2018","1,139.36","1,142.27","1,157.00","1,130.00","40.64K","-0.25%"
"03/16/2018","1,159.31","1,140.77","1,164.70","1,140.77","60.14K","1.75%"
"03/19/2018","1,152.34","1,161.26","1,164.99","1,147.35","34.35K","-0.60%"
"03/20/2018","1,182.13","1,160.46","1,194.98","1,155.01","47.87K","2.59%"
"03/21/2018","1,170.20","1,185.28","1,191.44","1,168.00","23.45K","-1.01%"
"03/22/2018","1,155.60","1,167.78","1,183.81","1,155.02","29.40K","-1.25%"
"03/23/2018","1,151.74","1,157.28","1,179.98","1,146.53","42.56K","-0.33%"
"03/26/2018","1,153.00","1,168.00","1,173.90","1,145.00","40.05K","0.11%"
"03/27/2018","1,149.04","1,159.83","1,162.98","1,140.40","35.09K","-0.34%"
"03/28/2018","1,154.68","1,154.92","1,168.69","1,145.50","22.44K","0.49%"
"03/29/2018","1,170.25","1,166.04","1,178.00","1,159.95","22.63K","1.35%"
"04/02/2018","1,159.68","1,174.95","1,174.95","1,145.00","36.85K","-0.90%"
"04/03/2018","1,150.97","1,163.81","1,167.03","1,144.01","48.18K","-0.75%"
"04/04/2018","1,155.42","1,141.56","1,160.00","1,128.81","24.70K","0.39%"
"04/05/2018","1,161.23","1,157.77","1,165.00","1,155.20","14.06K","0.50%"
"04/06/2018","1,148.16","1,156.31","1,164.61","1,135.35","24.77K","-1.13%"
"04/09/2018","1,148.81","1,156.90","1,165.98","1,136.00","29.62K","0.06%"
"04/10/2018","1,156.67","1,162.00","1,164.80","1,153.03","16.86K","0.68%"
"04/11/2018","1,155.00","1,159.00","1,165.89","1,151.88","16.56K","-0.14%"
"04/12/2018","1,153.83","1,166.90","1,170.96","1,153.83","17.28K","-0.10%"
"04/13/2018","1,153.51","1,161.54","1,167.99","1,146.88","32.99K","-0.03%"
"04/16/2018","1,150.53","1,157.25","1,171.86","1,150.00","34.69K","-0.26%"
"04/17/2018","1,158.00","1,157.50","1,168.31","1,155.01","50.97K","0.65%"
"04/18/2018","1,150.00","1,161.11","1,165.00","1,149.19","29.04K","-0.69%"
"04/19/2018","1,155.17","1,153.00","1,160.16","1,150.37","28.92K","0.45%"
"04/20/2018","1,153.08","1,159.97","1,161.49","1,148.56","16.66K","-0.18%"
"04/23/2018","1,165.11","1,153.09","1,165.30","1,153.09","24.91K","1.04%"
"04/24/2018","1,156.75","1,166.17","1,167.93","1,152.03","28.77K","-0.72%"
"04/25/2018","1,137.49","1,179.89","1,179.89","1,136.00","45.50K","-1.67%"
"04/26/2018","1,146.01","1,139.00","1,150.31","1,131.11","36.27K","0.75%"
"04/27/2018","1,146.80","1,146.01","1,150.13","1,130.81","20.25K","0.07%"
"04/30/2018","1,130.04","1,148.75","1,158.79","1,129.53","37.75K","-1.46%"
"05/01/2018","1,141.47","1,132.09","1,143.27","1,128.50","25.23K","1.01%"
"05/02/2018","1,133.03","1,140.99","1,145.00","1,127.00","22.78K","-0.74%"
"05/03/2018","1,108.77","1,129.25","1,131.92","1,107.96","36.82K","-2.14%"
"05/04/2018","1,124.25","1,107.56","1,128.36","1,107.56","48.49K","1.40%"
