"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","3,529.6","3,410.0","3,535.3","3,404.0","52.99K","0.61%"
"01/03/2018","3,562.8","3,542.0","3,599.7","3,523.8","27.07K","0.94%"
"01/04/2018","3,520.5","3,550.0","3,562.8","3,499.3","34.12K","-1.19%"
"01/05/2018","3,567.0","3,538.7","3,677.1","3,500.0","19.64K","1.32%"
"01/08/2018","3,624.8","3,575.4","3,637.8","3,559.7","35.95K","1.62%"
"01/09/2018","3,625.0","3,631.1","3,650.0","3,608.4","16.66K","0.01%"
"01/10/2018","3,515.8","3,606.9","3,608.0","3,497.0","27.49K","-3.01%"
"01/11/2018","3,550.9","3,525.1","3,572.0","3,520.0","33.34K","1.00%"
"01/12/2018","3,558.2","3,547.8","3,573.3","3,523.2","41.28K","0.21%"
"01/16/2018","3,541.0","3,578.1","3,644.5","3,540.0","26.51K","-0.48%"
"01/17/2018","3,646.7","3,554.5","3,663.8","3,550.4","28.32K","2.99%"
"01/18/2018","3,610.2","3,663.0","3,695.0","3,610.0","24.24K","-1.00%"
"01/19/2018","3,700.0","3,628.7","3,700.0","3,617.1","20.81K","2.49%"
"01/22/2018","3,655.0","3,698.8","3,700.0","3,610.0","39.79K","-1.22%"
"01/23/2018","3,640.4","3,671.9","3,692.4","3,628.0","19.00K","-0.40%"
"01/24/2018","3,587.2","3,648.2","3,682.8","3,573.5","21.92K","-1.46%"
"01/25/2018","3,350.0","3,417.2","3,520.0","3,275.2","61.23K","-6.61%"
"01/26/2018","3,285.0","3,375.0","3,375.5","3,243.1","39.92K","-1.94%"
"01/29/2018","3,177.9","3,253.0","3,264.0","3,177.0","61.67K","-3.26%"
"01/30/2018","3,206.8","3,139.6","3,246.8","3,058.1","63.96K","0.91%"
"01/31/2018","3,178.2","3,266.8","3,286.0","3,165.1","43.57K","-0.89%"
"02/01/2018","3,144.2","3,110.1","3,240.2","3,110.1","38.54K","-1.07%"
"02/02/2018","3,072.9","3,116.0","3,140.0","3,063.0","43.40K","-2.27%"
"02/05/2018","2,918.6","3,033.9","3,068.5","2,888.0","55.49K","-5.02%"
"02/06/2018","3,036.7","2,852.0","3,071.7","2,846.6","54.36K","4.05%"
"02/07/2018","2,983.7","3,033.3","3,097.5","2,983.7","30.84K","-1.75%"
"02/08/2018","2,789.0","2,988.9","3,009.8","2,788.7","49.89K","-6.53%"
"02/09/2018","2,800.0","2,822.5","2,863.5","2,738.8","38.04K","0.39%"
"02/12/2018","2,873.5","2,812.5","2,894.4","2,784.4","30.06K","2.63%"
"02/13/2018","2,915.0","2,864.0","2,925.8","2,850.0","33.00K","1.44%"
"02/14/2018","3,060.0","2,901.7","3,070.5","2,901.7","37.09K","4.97%"
"02/15/2018","3,077.0","3,101.9","3,182.7","3,014.3","67.77K","0.56%"
"02/16/2018","3,208.2","3,079.8","3,225.0","3,077.0","49.89K","4.26%"
"02/20/2018","3,194.6","3,190.6","3,207.9","3,120.0","44.26K","-0.42%"
"02/21/2018","3,185.0","3,188.0","3,250.0","3,138.0","44.56K","-0.30%"
"02/22/2018","3,093.7","3,179.4","3,179.4","3,074.1","52.79K","-2.87%"
"02/23/2018","2,998.8","3,090.0","3,090.0","2,985.1","34.07K","-3.07%"
"02/26/2018","2,983.0","3,005.3","3,028.6","2,939.5","29.30K","-0.53%"
"02/27/2018","2,906.1","2,991.6","3,024.8","2,906.1","33.29K","-2.58%"
"02/28/2018","2,843.2","2,904.5","2,904.5","2,808.0","48.12K","-2.16%"
"03/01/2018","2,875.0","2,856.0","2,899.0","2,822.2","31.17K","1.12%"
"03/02/2018","2,900.0","2,862.1","2,910.0","2,824.8","23.89K","0.87%"
"03/05/2018","2,891.4","2,878.8","2,924.5","2,850.0","20.65K","-0.30%"
"03/06/2018","2,960.0","2,906.2","2,965.0","2,875.0","26.27K","2.37%"
"03/07/2018","2,989.0","2,917.8","2,993.4","2,906.9","30.77K","0.98%"
"03/08/2018","3,001.7","2,991.6","3,018.2","2,940.0","33.23K","0.42%"
"03/09/2018","3,057.0","3,022.6","3,078.1","2,969.9","24.04K","1.84%"
"03/12/2018","3,090.0","3,057.0","3,127.8","3,052.8","33.14K","1.08%"
"03/13/2018","3,131.2","3,109.0","3,168.5","3,096.6","25.97K","1.33%"
"03/14/2018","3,054.7","3,133.5","3,141.8","3,041.9","35.52K","-2.44%"
"03/15/2018","3,027.2","3,063.2","3,089.0","3,000.6","23.71K","-0.90%"
"03/16/2018","3,060.4","3,030.0","3,068.1","3,001.7","48.84K","1.10%"
"03/19/2018","3,128.5","3,048.4","3,135.2","3,041.1","36.07K","2.23%"
"03/20/2018","3,074.0","3,135.5","3,169.9","3,051.0","35.23K","-1.74%"
"03/21/2018","3,104.6","3,089.9","3,126.0","3,058.7","31.40K","1.00%"
"03/22/2018","3,011.2","3,072.0","3,131.4","3,011.2","21.53K","-3.01%"
"03/23/2018","2,989.8","3,021.0","3,085.0","2,970.0","22.57K","-0.71%"
"03/26/2018","3,069.0","3,038.9","3,084.0","2,981.6","33.48K","2.65%"
"03/27/2018","3,028.1","3,073.9","3,076.7","2,996.1","18.36K","-1.33%"
"03/28/2018","2,977.9","3,015.4","3,029.6","2,960.0","27.98K","-1.66%"
"03/29/2018","2,800.0","2,977.4","3,050.0","2,800.0","32.59K","-5.97%"
"04/02/2018","2,922.1","2,930.0","2,989.2","2,862.2","38.50K","4.36%"
"04/03/2018","2,989.4","2,938.1","3,001.0","2,888.4","27.68K","2.30%"
"04/04/2018","3,126.6","2,951.6","3,145.0","2,951.6","30.51K","4.59%"
"04/05/2018","3,185.2","3,145.7","3,223.9","3,140.0","24.54K","1.87%"
"04/06/2018","3,122.0","3,147.1","3,185.1","3,074.9","32.92K","-1.98%"
"04/09/2018","3,116.4","3,146.4","3,179.6","3,096.6","20.78K","-0.18%"
"04/10/2018","3,174.2","3,145.1","3,189.7","3,130.0","20.53K","1.85%"
"04/11/2018","3,090.0","3,182.8","3,182.8","3,066.3","28.56K","-2.65%"
"04/12/2018","2,988.0","3,077.0","3,096.0","2,985.0","23.36K","-3.30%"
"04/13/2018","3,022.4","3,001.7","3,031.2","2,954.9","21.67K","1.15%"
"04/16/2018","3,000.0","3,025.1","3,053.3","2,989.0","18.39K","-0.74%"
"04/17/2018","3,057.3","3,002.2","3,059.2","2,951.1","24.85K","1.91%"
"04/18/2018","3,041.0","3,067.1","3,123.5","3,032.0","27.01K","-0.53%"
"04/19/2018","3,052.2","3,150.0","3,151.0","2,908.9","35.51K","0.37%"
"04/20/2018","3,058.4","3,083.0","3,119.2","3,040.3","26.62K","0.20%"
"04/23/2018","3,049.6","3,059.7","3,126.8","2,995.0","31.67K","-0.29%"
"04/24/2018","3,069.1","3,060.2","3,128.2","3,043.0","37.53K","0.64%"
"04/25/2018","3,101.2","3,069.1","3,105.6","3,020.6","25.39K","1.05%"
"04/26/2018","3,144.1","3,118.4","3,148.0","3,044.2","29.91K","1.38%"
"04/27/2018","3,157.9","3,185.0","3,190.4","3,109.9","17.81K","0.44%"
"04/30/2018","3,100.0","3,156.0","3,173.2","3,086.8","29.37K","-1.83%"
"05/01/2018","3,132.4","3,075.6","3,150.0","3,065.2","21.31K","1.05%"
"05/02/2018","3,093.2","3,121.5","3,163.1","3,083.3","17.78K","-1.25%"
"05/03/2018","3,163.1","3,097.7","3,180.1","3,097.7","20.61K","2.26%"
"05/04/2018","3,158.6","3,140.2","3,184.6","3,117.5","12.98K","-0.14%"
"05/07/2018","3,108.6","3,162.9","3,171.1","3,100.9","31.59K","-1.58%"
"05/08/2018","3,089.8","3,094.8","3,125.0","3,067.9","33.22K","-0.60%"
"05/09/2018","3,023.0","3,089.0","3,089.0","2,983.2","36.08K","-2.16%"
"05/10/2018","3,022.0","3,024.2","3,040.0","3,005.4","24.84K","-0.03%"
"05/11/2018","3,053.6","3,014.0","3,075.0","3,014.0","44.69K","1.05%"
"05/14/2018","3,052.0","3,055.9","3,079.0","3,039.0","31.76K","-0.05%"
"05/15/2018","2,902.0","3,025.2","3,064.0","2,892.6","32.03K","-4.91%"
"05/16/2018","2,917.0","2,901.0","2,936.9","2,878.2","37.81K","0.52%"
"05/17/2018","2,980.3","2,918.6","2,995.5","2,916.0","22.62K","2.17%"
"05/18/2018","2,963.7","2,988.8","2,988.8","2,948.1","30.86K","-0.56%"
"05/21/2018","3,025.0","2,981.4","3,038.7","2,981.4","34.32K","2.07%"
"05/22/2018","2,955.1","3,015.0","3,024.0","2,944.3","36.83K","-2.31%"
"05/23/2018","2,992.0","2,952.3","3,010.0","2,924.3","32.34K","1.25%"
"05/24/2018","2,975.1","3,004.9","3,009.9","2,946.8","45.87K","-0.56%"
"05/25/2018","3,025.0","2,983.5","3,073.8","2,983.1","23.35K","1.68%"
"05/29/2018","3,085.9","3,024.0","3,086.0","3,001.0","23.67K","2.01%"
"05/30/2018","3,058.1","3,090.0","3,103.7","3,027.4","38.23K","-0.90%"
"05/31/2018","2,990.5","3,058.0","3,058.6","2,985.2","32.25K","-2.21%"
"06/01/2018","3,035.4","2,996.1","3,061.4","2,996.1","16.27K","1.50%"
"06/04/2018","3,033.9","3,048.2","3,066.0","3,022.0","22.55K","-0.05%"
"06/05/2018","3,067.1","3,024.6","3,067.1","3,024.6","39.65K","1.09%"
"06/06/2018","3,111.0","3,084.0","3,112.4","3,031.2","34.84K","1.43%"
"06/07/2018","3,125.3","3,102.0","3,125.3","3,068.2","32.32K","0.46%"
"06/08/2018","3,196.4","3,120.0","3,198.9","3,098.0","33.27K","2.27%"
"06/11/2018","3,161.2","3,196.0","3,217.5","3,147.9","32.01K","-1.10%"
"06/12/2018","3,210.2","3,172.1","3,233.0","3,133.9","27.76K","1.55%"
"06/13/2018","3,104.4","3,210.2","3,210.2","3,093.0","42.77K","-3.30%"
"06/14/2018","3,114.6","3,108.6","3,131.4","3,060.7","18.49K","0.33%"
"06/15/2018","3,182.4","3,107.0","3,182.4","3,070.0","53.68K","2.18%"
"06/18/2018","3,106.0","3,134.0","3,170.3","3,094.6","24.92K","-2.40%"
"06/19/2018","3,099.0","3,096.1","3,131.0","3,093.0","35.32K","-0.23%"
"06/20/2018","3,099.9","3,114.3","3,126.1","3,042.6","17.05K","0.03%"
"06/21/2018","3,065.5","3,095.0","3,106.6","3,059.5","31.34K","-1.11%"
"06/22/2018","3,000.7","3,060.6","3,065.0","2,983.0","47.18K","-2.11%"
"06/25/2018","2,965.1","2,980.2","3,012.2","2,955.2","31.60K","-1.19%"
"06/26/2018","2,973.1","2,981.0","3,025.8","2,954.2","44.23K","0.27%"
"06/27/2018","2,940.9","2,984.8","2,989.7","2,932.3","29.52K","-1.08%"
"06/28/2018","2,962.2","2,932.2","2,978.0","2,919.4","21.24K","0.72%"
"06/29/2018","2,970.3","2,975.0","3,019.3","2,970.3","24.01K","0.27%"
"07/02/2018","2,990.6","2,938.6","3,003.9","2,938.6","13.90K","0.68%"
"07/03/2018","3,033.5","2,998.1","3,038.0","2,995.1","7.90K","1.43%"
"07/05/2018","3,063.2","3,059.7","3,073.4","3,014.4","12.00K","0.98%"
"07/06/2018","3,017.0","3,053.9","3,101.0","3,014.7","15.47K","-1.51%"
"07/09/2018","3,067.0","3,027.0","3,078.3","3,018.6","23.20K","1.66%"
"07/10/2018","3,103.6","3,060.5","3,109.2","3,054.8","25.81K","1.19%"
"07/11/2018","3,063.6","3,077.2","3,121.4","3,055.5","14.17K","-1.29%"
"07/12/2018","3,081.1","3,057.1","3,086.5","3,020.4","16.10K","0.57%"
"07/13/2018","3,102.7","3,081.1","3,112.4","3,068.4","7.48K","0.70%"
"07/16/2018","3,070.9","3,076.0","3,098.1","3,057.9","15.08K","-1.02%"
"07/17/2018","3,168.2","3,057.0","3,175.0","3,057.0","22.56K","3.17%"
"07/18/2018","3,130.2","3,154.8","3,154.8","3,075.1","20.37K","-1.20%"
"07/19/2018","3,173.3","3,138.8","3,188.2","3,133.6","19.69K","1.38%"
"07/20/2018","2,910.0","3,085.6","3,100.0","2,867.7","62.07K","-8.30%"
