"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","4,371.9","4,416.2","4,416.2","4,311.0","0.69K","-0.86%"
"01/03/2018","4,346.8","4,400.0","4,400.0","4,325.2","0.34K","-0.57%"
"01/04/2018","4,384.6","4,390.0","4,403.0","4,350.0","0.45K","0.87%"
"01/05/2018","4,281.0","4,398.0","4,398.0","4,272.0","0.25K","-2.36%"
"01/08/2018","4,230.5","4,285.0","4,323.1","4,210.0","0.32K","-1.18%"
"01/09/2018","4,240.0","4,258.1","4,274.6","4,225.0","0.34K","0.22%"
"01/10/2018","4,257.0","4,240.0","4,350.0","4,240.0","0.30K","0.40%"
"01/11/2018","4,264.0","4,265.0","4,325.0","4,250.0","0.34K","0.16%"
"01/12/2018","4,279.9","4,291.8","4,318.0","4,250.0","0.59K","0.37%"
"01/13/2018","4,279.9","4,279.9","4,279.9","4,279.9","","0.00%"
"01/15/2018","4,279.9","4,279.9","4,279.9","4,279.9","","0.00%"
"01/16/2018","4,261.9","4,324.0","4,324.0","4,245.0","0.48K","-0.42%"
"01/17/2018","4,261.0","4,289.4","4,303.7","4,248.4","0.59K","-0.02%"
"01/18/2018","4,307.0","4,256.4","4,350.0","4,256.4","0.38K","1.08%"
"01/19/2018","4,374.0","4,308.0","4,374.0","4,287.0","0.32K","1.56%"
"01/20/2018","4,374.0","4,374.0","4,374.0","4,374.0","","0.00%"
"01/22/2018","4,320.0","4,362.2","4,382.0","4,300.0","0.26K","-1.23%"
"01/23/2018","4,375.0","4,328.0","4,375.0","4,290.6","0.28K","1.27%"
"01/24/2018","4,330.0","4,360.4","4,375.0","4,301.0","0.10K","-1.03%"
"01/25/2018","4,330.0","4,360.0","4,375.0","4,319.1","0.11K","0.00%"
"01/26/2018","4,389.4","4,370.0","4,389.4","4,339.8","0.09K","1.37%"
"01/27/2018","4,389.4","4,389.4","4,389.4","4,389.4","","0.00%"
"01/29/2018","4,316.1","4,376.1","4,402.0","4,316.0","0.19K","-1.67%"
"01/30/2018","4,255.1","4,307.0","4,366.4","4,235.0","0.22K","-1.41%"
"01/31/2018","4,336.0","4,339.0","4,350.0","4,260.0","0.22K","1.90%"
"02/01/2018","4,256.0","4,326.6","4,350.0","4,256.0","0.09K","-1.85%"
"02/02/2018","4,289.8","4,300.0","4,340.0","4,215.0","0.23K","0.79%"
"02/03/2018","4,289.8","4,289.8","4,289.8","4,289.8","","0.00%"
"02/05/2018","4,238.3","4,262.0","4,299.5","4,200.0","0.24K","-1.20%"
"02/06/2018","4,170.0","4,182.0","4,203.2","4,110.1","0.44K","-1.61%"
"02/07/2018","4,220.0","4,179.0","4,245.0","4,130.1","0.31K","1.20%"
"02/08/2018","4,205.0","4,230.0","4,268.9","4,126.0","0.23K","-0.36%"
"02/09/2018","4,030.0","4,350.0","4,350.0","4,030.0","0.55K","-4.16%"
"02/10/2018","4,030.0","4,030.0","4,030.0","4,030.0","","0.00%"
"02/12/2018","4,145.0","4,100.0","4,150.0","3,990.0","0.51K","2.85%"
"02/13/2018","4,021.2","4,165.0","4,165.0","3,985.9","0.30K","-2.99%"
"02/14/2018","4,005.0","4,034.9","4,055.5","4,000.0","0.25K","-0.40%"
"02/15/2018","4,017.4","4,030.0","4,100.0","4,005.0","0.12K","0.31%"
"02/16/2018","4,143.9","4,020.0","4,330.0","4,020.0","0.20K","3.15%"
"02/17/2018","4,143.9","4,143.9","4,143.9","4,143.9","","0.00%"
"02/19/2018","4,143.9","4,143.9","4,143.9","4,143.9","","0.00%"
"02/20/2018","4,120.0","4,140.8","4,160.0","4,075.0","0.22K","-0.58%"
"02/21/2018","4,118.9","4,124.7","4,180.0","4,062.0","0.14K","-0.03%"
"02/22/2018","4,045.0","4,118.0","4,118.0","3,965.9","0.39K","-1.79%"
"02/23/2018","4,050.0","4,010.0","4,075.4","4,010.0","0.23K","0.12%"
"02/24/2018","4,050.0","4,050.0","4,050.0","4,050.0","","0.00%"
"02/26/2018","4,105.0","4,056.0","4,125.0","4,050.0","0.29K","1.36%"
"02/27/2018","4,123.1","4,100.0","4,181.9","4,070.0","0.27K","0.44%"
"02/28/2018","4,052.0","4,134.0","4,156.4","4,052.0","0.11K","-1.72%"
"03/01/2018","4,060.9","4,070.0","4,199.0","4,052.8","0.36K","0.22%"
"03/02/2018","4,019.3","4,000.0","4,099.0","4,000.0","0.24K","-1.02%"
"03/03/2018","4,019.3","4,019.3","4,019.3","4,019.3","","0.00%"
"03/05/2018","3,990.0","4,010.0","4,055.0","3,975.0","0.76K","-0.73%"
"03/06/2018","4,025.0","4,012.7","4,070.0","3,994.2","0.18K","0.88%"
"03/07/2018","4,036.8","4,024.9","4,093.9","4,004.1","0.38K","0.29%"
"03/08/2018","4,034.9","4,036.0","4,093.3","4,003.1","0.15K","-0.05%"
"03/09/2018","4,060.0","4,047.8","4,088.0","4,020.0","0.18K","0.62%"
"03/10/2018","4,060.0","4,060.0","4,060.0","4,060.0","","0.00%"
"03/12/2018","4,060.0","4,057.9","4,099.0","4,000.0","0.16K","0.00%"
"03/13/2018","4,055.0","4,088.0","4,088.0","4,020.0","0.27K","-0.12%"
"03/14/2018","3,992.1","4,062.0","4,074.9","3,992.1","1.22K","-1.55%"
"03/15/2018","4,043.9","3,987.0","4,057.1","3,987.0","0.21K","1.30%"
"03/16/2018","4,120.3","4,080.0","4,120.3","4,000.0","1.70K","1.89%"
"03/17/2018","4,120.3","4,120.3","4,120.3","4,120.3","","0.00%"
"03/19/2018","4,013.0","4,100.0","4,108.0","4,000.0","0.36K","-2.60%"
"03/20/2018","4,050.0","4,022.7","4,067.0","4,020.0","0.13K","0.92%"
"03/21/2018","4,099.3","4,037.7","4,119.8","4,023.0","0.24K","1.22%"
"03/22/2018","4,085.0","4,090.9","4,120.0","4,070.1","0.28K","-0.35%"
"03/23/2018","4,103.6","4,085.0","4,128.0","4,082.0","0.40K","0.46%"
"03/24/2018","4,103.6","4,103.6","4,103.6","4,103.6","","0.00%"
"03/26/2018","4,108.6","4,140.0","4,149.9","4,073.7","0.26K","0.12%"
"03/27/2018","4,183.9","4,109.7","4,190.0","4,090.0","0.22K","1.83%"
"03/28/2018","4,190.0","4,172.0","4,190.0","4,130.0","0.43K","0.15%"
"03/29/2018","4,265.0","4,190.0","4,265.0","4,152.6","0.27K","1.79%"
"03/30/2018","4,265.0","4,265.0","4,265.0","4,265.0","","0.00%"
"03/31/2018","4,265.0","4,265.0","4,265.0","4,265.0","","0.00%"
"04/02/2018","4,225.0","4,258.1","4,258.1","4,151.1","0.59K","-0.94%"
"04/03/2018","4,201.0","4,258.1","4,295.5","4,171.6","0.40K","-0.57%"
"04/04/2018","4,264.1","4,220.0","4,264.1","4,170.2","0.21K","1.50%"
"04/05/2018","4,249.0","4,278.0","4,300.0","4,205.3","0.35K","-0.35%"
"04/06/2018","4,185.3","4,231.8","4,285.0","4,109.0","0.36K","-1.50%"
