GVKEY,datadate,fyear,tic,conm,curcd,at,bkvlps,ceq,ceql,che,cogs,csho,dlc,dltt,dvc,ebit,ebitda,epsfx,lt,ni,revt,seq,costat,prcc_f,gross profit,gp/at,asset turnover,gross margin,div /share,div yeild,if pro,if div,
138122,31-Dec-21,2021,ARNA,ARENA PHARMACEUTICALS INC,USD,784.705,10.9356,673.237,673.237,550.469,550.481,61.564,6.852,44.459,0,-554.299,-550.427,-10.14,111.468,-616.433,0.054,673.237,I,92.94,-550.427,-0.701444492,6.88E-05,-10193.09259,0,0,FALSE,FALSE,
313966,31-Dec-21,2021,NBTX,NANOBIOTIX SA,USD,115.745,0.8753,30.469,30.469,95.446,54.878,34.811,9.331,43.009,0,-56.64,-54.866,-1.54,85.276,-53.458,0.012,30.469,A,8.1,-54.866,-0.474024796,0.000103676,-4572.166667,0,0,FALSE,FALSE,
137090,31-Dec-21,2021,BLU,BELLUS HEALTH INC,USD,309.595,2.7449,292.029,292.029,248.806,73.107,106.39,0.254,0.617,0,-73.284,-73.091,-0.9,17.566,-71.224,0.016,292.029,A,8.05,-73.091,-0.236085854,5.17E-05,-4568.1875,0,0,FALSE,FALSE,
31628,31-Dec-21,2021,MRSN,MERSANA THRPEUTIC INC,USD,206.111,1.6516,121.741,121.741,177.947,168.046,73.709,2.542,36.322,0,-168.858,-168.003,-2.41,84.37,-170.06,0.043,121.741,A,6.22,-168.003,-0.815109334,0.000208625,-3907.046512,0,0,FALSE,FALSE,
37318,31-Dec-21,2021,FSR,FISKER INC,USD,1592.952,2.6962,800.042,800.042,1202.439,328.556,296.731,4.552,674.28,0,-329.25,-328.45,-1.61,792.91,-471.341,0.106,800.042,A,15.73,-328.45,-0.206189515,6.65E-05,-3098.584906,0,0,FALSE,FALSE,
39426,31-Dec-21,2021,DATS,DATCHAT INC,USD,20.815,1.0249,20.084,20.084,20.2,10.841,19.597,0.054,0.151,0,-10.839,-10.837,-0.67,0.731,-10.829,0.004,20.084,A,3.03,-10.837,-0.520634158,0.000192169,-2709.25,0,0,FALSE,FALSE,
37677,31-Dec-21,2021,GRCL,GRACELL BIOTE INC -ADR,USD,324.308,4.2558,287.666,287.666,288.492,65.971,67.594,13.539,10.89,0,-72.976,-65.913,-1.06,36.642,-71.115,0.058,287.666,A,6.04,-65.913,-0.20324198,0.000178842,-1136.431034,0,0,FALSE,FALSE,
20756,31-Dec-21,2021,MTNB,MATINAS BIOPHARMA HLDGS INC,USD,61.326,0.2427,52.493,52.493,49.672,24.487,216.269,0.56,4.143,0,-24.734,-24.454,-0.11,8.833,-23.283,0.033,52.493,A,1.01,-24.454,-0.398754199,0.000538108,-741.030303,0,0,FALSE,FALSE,
37781,31-Dec-21,2021,ALF,ALFI INC,USD,11.373,0.5655,9.01,9.01,4.392,17.061,15.932,0.098,0,0,-18.186,-17.035,-1.36,2.363,-18.944,0.026,9.01,A,2.3,-17.035,-1.497845775,0.002286116,-655.1923077,0,0,FALSE,FALSE,
66042,31-Dec-21,2021,BRTX,BIORESTORATIVE THERAPIES INC,USD,22.453,6.131,21.581,21.581,21.027,26.265,3.52,0.178,0.493,0,-26.308,-26.219,-37.3,0.857,-44.303,0.046,21.596,A,4.34,-26.219,-1.167728143,0.002048724,-569.9782609,0,0,FALSE,FALSE,
184957,31-Dec-21,2021,WKHS,WORKHORSE GROUP INC,USD,228.139,1.1499,174.693,174.693,201.646,123.781,151.915,0.364,25.896,0,-177.212,-175.304,-3.12,53.446,-401.345,0.248,174.693,A,4.36,-123.533,-0.54148129,0.001087057,-498.1169355,0,0,FALSE,FALSE,
